,height,weight,size,color
544,182.88,87.99691978,M,green
545,193.04,90.718474,L,yellow
546,177.8,92.98643585,L,yellow
547,165.1,77.1107029,XL,purple
548,177.8,68.0388555,L,yellow
549,180.34,88.45051215000001,L,yellow
550,180.34,87.99691978,M,green
551,182.88,88.45051215000001,XL,purple
552,180.34,81.6466266,XL,purple
553,167.64000000000001,61.23496995,L,yellow
554,193.04,98.88313666,XL,purple
555,172.72,70.30681735,M,green
556,193.04,86.1825503,M,green
557,180.34,75.29633342000001,L,yellow
558,177.8,81.6466266,XL,purple
559,180.34,88.45051215000001,L,yellow
560,175.26,90.718474,XL,purple
561,175.26,92.98643585,XL,purple
562,177.8,96.61517481,XL,purple
563,175.26,67.13167076,M,green
564,182.88,81.6466266,XL,purple
565,182.88,77.1107029,XL,purple
566,170.18,95.2543977,L,yellow
567,175.26,83.91458845000001,XL,purple
568,165.1,106.59420695,XL,purple
569,172.72,83.91458845000001,L,yellow
570,182.88,79.37866475,L,yellow
571,175.26,61.23496995,L,yellow
572,172.72,68.0388555,XL,purple
573,177.8,86.1825503,XL,purple
574,182.88,92.98643585,XL,purple
575,177.8,83.91458845000001,L,yellow
576,180.34,74.84274105,L,yellow
577,190.5,108.8621688,L,yellow
578,175.26,99.79032140000001,L,yellow
579,177.8,88.45051215000001,XL,purple
580,170.18,87.99691978,L,yellow
581,175.26,88.45051215000001,L,yellow
582,187.96,99.79032140000001,L,yellow
583,177.8,97.52235955,L,yellow
584,175.26,81.6466266,L,yellow
585,175.26,95.2543977,L,yellow
586,175.26,81.6466266,L,yellow
587,182.88,65.77089365,S,red
588,175.26,87.54332741,L,yellow
589,180.34,88.45051215000001,L,yellow
590,177.8,111.13013065000001,XL,purple
591,180.34,74.84274105,XL,purple
592,185.42000000000002,95.2543977,L,yellow
593,170.18,70.30681735,L,yellow
594,182.88,97.52235955,M,green
595,177.8,90.718474,L,yellow
596,185.42000000000002,99.79032140000001,XL,purple
597,182.88,79.37866475,S,red
598,172.72,93.89362059,L,yellow
599,180.34,93.89362059,XL,purple
600,175.26,95.2543977,L,yellow
601,185.42000000000002,63.95652417,L,yellow
602,182.88,113.3980925,XL,purple
603,172.72,76.20351816,L,yellow
604,180.34,68.0388555,L,yellow
605,175.26,77.1107029,M,green
606,175.26,105.23342984,L,yellow
607,182.88,104.77983747,L,yellow
608,180.34,72.57477920000001,L,yellow
609,185.42000000000002,93.89362059,XL,purple
610,185.42000000000002,88.90410452,XL,purple
611,167.64000000000001,77.1107029,L,yellow
612,162.56,91.17206637000001,L,yellow
613,175.26,78.47148001000001,XL,purple
614,167.64000000000001,83.91458845000001,XL,purple
615,167.64000000000001,86.1825503,L,yellow
616,165.1,58.9670081,M,green
617,172.72,92.98643585,L,yellow
618,180.34,81.6466266,L,yellow
619,165.1,70.30681735,L,yellow
620,170.18,71.66759446,L,yellow
621,180.34,80.28584949,L,yellow
622,185.42000000000002,68.0388555,L,yellow
623,172.72,84.36818082,L,yellow
624,175.26,95.2543977,L,yellow
625,172.72,96.16158244,XS,blue
626,182.88,104.32624510000001,XL,purple
627,175.26,79.37866475,L,yellow
628,170.18,81.6466266,M,green
629,182.88,97.52235955,XL,purple
630,177.8,108.8621688,XL,purple
631,175.26,90.718474,L,yellow
632,175.26,80.28584949,L,yellow
633,180.34,84.36818082,L,yellow
