height,weight,size,color
157.48,51.70953018,M,green
162.56,58.9670081,XL,purple
157.48,58.9670081,S,red
154.94,50.34875307,L,yellow
160.02,66.67807839000001,S,red
165.1,61.23496995,L,yellow
167.64,56.69904625,L,yellow
167.64,65.77089365,L,yellow
175.26,68.0388555,S,red
177.8,75.74992579,S,red
160.02,77.1107029,L,yellow
162.56,77.1107029,XL,purple
162.56,71.21400209000001,L,yellow
152.4,51.255937810000006,L,yellow
152.4,63.502931800000006,S,red
157.48,65.77089365,S,red
170.18,89.81128926000001,S,red
160.02,66.67807839000001,L,yellow
160.02,54.4310844,XS,blue
175.26,73.93555631000001,L,yellow
167.64,58.05982336,XL,purple
175.26,73.93555631000001,XL,purple
162.56,70.30681735,S,red
165.1,68.0388555,S,red
167.64,57.60623099,L,yellow
175.26,58.9670081,S,red
160.02,72.57477920000001,S,red
162.56,66.22448602,L,yellow
157.48,64.41011654,M,green
165.1,73.48196394,S,red
165.1,58.9670081,XL,purple
172.72,72.57477920000001,XL,purple
172.72,70.30681735,S,red
162.56,72.57477920000001,L,yellow
170.18,72.57477920000001,S,red
165.1,63.502931800000006,L,yellow
167.64,61.23496995,L,yellow
162.56,56.69904625,XL,purple
170.18,61.23496995,L,yellow
162.56,63.502931800000006,S,red
162.56,58.05982336,L,yellow
167.64,72.57477920000001,XL,purple
175.26,87.08973504000001,XL,purple
162.56,61.23496995,S,red
160.02,52.16312255,S,red
157.48,54.4310844,S,red
157.48,52.16312255,L,yellow
157.48,63.04933943,S,red
175.26,72.57477920000001,L,yellow
157.48,70.30681735,L,yellow
167.64,68.94604024,S,red
160.02,66.22448602,S,red
167.64,63.95652417,S,red
152.4,64.41011654,S,red
160.02,56.69904625,L,yellow
172.72,72.57477920000001,S,red
170.18,79.37866475,XL,purple
162.56,61.68856232,L,yellow
167.64,62.142154690000005,L,yellow
167.64,58.05982336,XL,purple
149.86,67.13167076,S,red
172.72,89.35769689,XL,purple
154.94,61.68856232,L,yellow
167.64,78.01788764,L,yellow
157.48,65.31730128000001,XL,purple
165.1,83.00740371,S,red
160.02,64.86370891,S,red
157.48,61.68856232,L,yellow
167.64,89.81128926000001,L,yellow
165.1,72.57477920000001,S,red
167.64,61.23496995,S,red
167.64,56.24545388,L,yellow
165.1,77.1107029,L,yellow
154.94,56.69904625,S,red
175.26,88.45051215000001,XL,purple
160.02,83.91458845000001,L,yellow
157.48,49.895160700000005,S,red
167.64,63.95652417,L,yellow
154.94,68.94604024,XL,purple
154.94,65.31730128000001,L,yellow
154.94,59.874192840000006,S,red
162.56,73.48196394,L,yellow
167.64,76.20351816,L,yellow
160.02,64.41011654,L,yellow
167.64,73.93555631000001,S,red
167.64,53.07030729,L,yellow
160.02,62.59574706,L,yellow
167.64,78.92507238,S,red
157.48,57.152638620000005,L,yellow
157.48,65.31730128000001,S,red
160.02,55.79186151,S,red
160.02,63.502931800000006,S,red
172.72,69.39963261,L,yellow
162.56,56.69904625,L,yellow
157.48,63.502931800000006,S,red
167.64,59.874192840000006,S,red
160.02,72.57477920000001,L,yellow
162.56,74.84274105,L,yellow
149.86,68.0388555,S,red
175.26,72.57477920000001,S,red
152.4,50.80234544,L,yellow
175.26,67.13167076,M,green
170.18,67.13167076,S,red
162.56,67.58526313,L,yellow
167.64,65.77089365,L,yellow
157.48,61.23496995,L,yellow
165.1,63.502931800000006,L,yellow
144.78,56.24545388,S,red
165.1,54.4310844,S,red
160.02,68.0388555,L,yellow
152.4,40.8233133,L,yellow
157.48,72.12118683,S,red
160.02,70.30681735,L,yellow
170.18,73.93555631000001,S,red
167.64,65.77089365,S,red
157.48,58.513415730000006,S,red
154.94,73.48196394,XS,blue
152.4,59.42060047,L,yellow
165.1,56.69904625,L,yellow
157.48,63.502931800000006,S,red
152.4,56.24545388,S,red
172.72,65.77089365,L,yellow
162.56,68.94604024,L,yellow
185.42,90.718474,L,yellow
162.56,47.62719885,L,yellow
182.88,74.84274105,S,red
167.64,56.69904625,S,red
162.56,63.502931800000006,S,red
170.18,68.0388555,S,red
180.34,94.34721296,S,red
154.94,63.04933943,L,yellow
152.4,52.16312255,L,yellow
160.02,68.0388555,S,red
172.72,72.57477920000001,XL,purple
182.88,88.45051215000001,S,red
167.64,63.95652417,L,yellow
157.48,53.523899660000005,S,red
154.94,56.24545388,S,red
165.1,66.67807839000001,L,yellow
167.64,59.874192840000006,L,yellow
157.48,66.22448602,XL,purple
160.02,58.9670081,L,yellow
160.02,58.9670081,XL,purple
149.86,52.16312255,L,yellow
162.56,61.23496995,L,yellow
144.78,53.523899660000005,L,yellow
160.02,61.68856232,S,red
170.18,64.86370891,XL,purple
175.26,81.6466266,L,yellow
165.1,61.23496995,S,red
162.56,72.57477920000001,L,yellow
165.1,77.1107029,L,yellow
172.72,73.02837157,L,yellow
160.02,56.69904625,L,yellow
175.26,90.718474,L,yellow
167.64,72.57477920000001,L,yellow
170.18,76.20351816,S,red
165.1,70.30681735,L,yellow
165.1,62.59574706,L,yellow
165.1,57.60623099,M,green
167.64,74.84274105,S,red
170.18,68.0388555,L,yellow
165.1,60.32778521,L,yellow
170.18,62.59574706,S,red
167.64,72.57477920000001,S,red
170.18,65.77089365,L,yellow
152.4,56.69904625,S,red
167.64,72.57477920000001,S,red
167.64,66.22448602,S,red
162.56,57.152638620000005,L,yellow
154.94,56.69904625,L,yellow
160.02,68.49244787,L,yellow
165.1,68.0388555,L,yellow
152.4,49.895160700000005,L,yellow
177.8,72.57477920000001,L,yellow
154.94,57.60623099,S,red
170.18,67.13167076,L,yellow
160.02,56.69904625,L,yellow
160.02,72.57477920000001,S,red
172.72,65.77089365,M,green
170.18,59.42060047,L,yellow
160.02,65.77089365,M,green
165.1,57.152638620000005,L,yellow
154.94,48.08079122,L,yellow
167.64,58.9670081,S,red
167.64,69.85322498000001,S,red
162.56,63.502931800000006,L,yellow
157.48,53.523899660000005,L,yellow
157.48,51.255937810000006,XL,purple
162.56,72.57477920000001,S,red
162.56,70.30681735,XL,purple
162.56,53.523899660000005,S,red
157.48,56.69904625,S,red
167.64,69.39963261,M,green
170.18,83.91458845000001,L,yellow
165.1,53.523899660000005,L,yellow
